"Subj","TestSpeaker","MMR"
"15","3",5.28415892669376
"13","3",-1.21755399805912
"10","1",4.6982829270573
"04","3",-6.46708453777186
"10","1",4.6982829270573
"08","1",7.83910885523609
"12","4",1.11574421874306
"02","3",-2.57400159277186
"09","3",2.97118493572454
"02","3",-2.57400159277186
"13","3",-1.21755399805912
"06","1",9.61184816313371
"12","4",1.11574421874306
"10","1",4.6982829270573
"11","4",-0.148426219018849
"08","1",7.83910885523609
"15","3",5.28415892669376
"10","1",4.6982829270573
"06","1",9.61184816313371
"15","3",5.28415892669376
"05","1",9.21838942064071
"10","1",4.6982829270573
"04","3",-6.46708453777186
"06","1",9.61184816313371
"08","1",7.83910885523609
"05","1",9.21838942064071
"09","3",2.97118493572454
"08","1",7.83910885523609
"13","3",-1.21755399805912
"01","4",-0.987475258589554
"01","4",-0.987475258589554
"09","3",2.97118493572454
"02","3",-2.57400159277186
"10","1",4.6982829270573
"08","1",7.83910885523609
"06","1",9.61184816313371
"01","4",-0.987475258589554
"12","4",1.11574421874306
"13","3",-1.21755399805912
